gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FGL2.2,6.99E-10,-0.320507813,0.007,0.126,1.29E-05,2,FGL2
SKAP2.2,7.59E-10,-0.299490522,0.083,0.235,1.40E-05,2,SKAP2
LSP1.2,7.64E-10,-0.264257882,0.017,0.142,1.41E-05,2,LSP1
TPR.1,8.13E-10,0.269934481,0.84,0.706,1.50E-05,2,TPR
LACTB.1,8.54E-10,-0.32179389,0.123,0.281,1.57E-05,2,LACTB
NIFK.1,9.09E-10,0.266150853,0.67,0.492,1.67E-05,2,NIFK
CDKN1A.1,9.77E-10,-0.380292765,0.147,0.312,1.80E-05,2,CDKN1A
SAMD9,1.00E-09,-0.25254391,0.03,0.161,1.84E-05,2,SAMD9
PSMC1,1.00E-09,0.303172868,0.683,0.526,1.85E-05,2,PSMC1
BNIP3L,1.02E-09,-0.304748334,0.157,0.319,1.88E-05,2,BNIP3L
FAM200B.2,1.07E-09,0.261213893,0.577,0.399,1.97E-05,2,FAM200B
EVI2B.2,1.08E-09,-0.266226471,0.02,0.145,1.98E-05,2,EVI2B
HNRNPA2B1,1.18E-09,0.296728183,0.727,0.549,2.17E-05,2,HNRNPA2B1
CDIPT.2,1.20E-09,0.281164839,0.537,0.372,2.22E-05,2,CDIPT
HSPA4,1.21E-09,0.288268128,0.457,0.304,2.22E-05,2,HSPA4
CAPG.1,1.46E-09,-0.487833325,0.22,0.377,2.69E-05,2,CAPG
ID1.2,1.57E-09,0.259353531,0.66,0.457,2.89E-05,2,ID1
STAB1.2,1.61E-09,-0.296942047,0.007,0.121,2.96E-05,2,STAB1
TMA7,1.63E-09,0.296437984,0.78,0.627,3.01E-05,2,TMA7
CAST.1,1.68E-09,-0.505313747,0.67,0.746,3.10E-05,2,CAST
FPR1.2,1.78E-09,-0.328101423,0.017,0.137,3.27E-05,2,FPR1
RBM17,1.78E-09,0.28353174,0.68,0.533,3.29E-05,2,RBM17
ELK3.1,2.06E-09,-0.281153769,0.04,0.171,3.80E-05,2,ELK3
ISG15.2,2.24E-09,-0.680695138,0.233,0.389,4.13E-05,2,ISG15
TAOK3,2.25E-09,-0.325726335,0.21,0.373,4.15E-05,2,TAOK3
COX8A,2.27E-09,0.294993719,0.713,0.582,4.19E-05,2,COX8A
LUC7L3,2.30E-09,0.28013431,0.677,0.519,4.24E-05,2,LUC7L3
HNRNPDL,2.33E-09,0.266710843,0.703,0.542,4.30E-05,2,HNRNPDL
IL4I1.2,2.35E-09,-0.267436609,0.003,0.114,4.32E-05,2,IL4I1
UCHL5,2.77E-09,0.267984478,0.373,0.235,5.10E-05,2,UCHL5
CCL2.2,3.44E-09,-0.620000003,0.017,0.133,6.34E-05,2,CCL2
TMEM147,3.65E-09,0.250638651,0.65,0.475,6.73E-05,2,TMEM147
CITED2.2,4.04E-09,-0.320936016,0.063,0.201,7.44E-05,2,CITED2
GPR65.1,4.13E-09,-0.253488101,0.01,0.122,7.62E-05,2,GPR65
LIPA.2,4.22E-09,-0.357834508,0.047,0.176,7.77E-05,2,LIPA
PARP14.2,4.32E-09,-0.312399274,0.103,0.25,7.96E-05,2,PARP14
IL1B.2,4.37E-09,-1.359519895,0.053,0.182,8.05E-05,2,IL1B
CD163.2,4.37E-09,-0.280144162,0.003,0.11,8.05E-05,2,CD163
ABCF1,4.44E-09,0.282354373,0.723,0.577,8.17E-05,2,ABCF1
ATP6V0E1.1,4.87E-09,-0.332530775,0.657,0.753,8.98E-05,2,ATP6V0E1
MT-ND4.2,5.26E-09,0.266216512,0.983,0.988,9.68E-05,2,MT-ND4
ASNSD1,5.42E-09,0.296702564,0.49,0.341,9.98E-05,2,ASNSD1
CTSB.2,5.58E-09,-1.726676525,0.69,0.713,0.000102761,2,CTSB
C12orf65,5.73E-09,0.264108477,0.42,0.27,0.000105529,2,C12orf65
ESD,5.82E-09,0.252598045,0.493,0.336,0.000107198,2,ESD
GNL3,5.90E-09,0.26161894,0.69,0.524,0.000108626,2,GNL3
GPNMB.1,6.51E-09,-0.704949223,0.717,0.732,0.000119847,2,GPNMB
EIF3J,6.57E-09,0.296782088,0.847,0.703,0.000121065,2,EIF3J
SRRM1,7.14E-09,0.288341911,0.823,0.698,0.000131508,2,SRRM1
PPDPF.2,7.91E-09,-0.454588734,0.2,0.35,0.000145675,2,PPDPF
FOXP1.1,9.15E-09,-0.296793322,0.08,0.219,0.000168625,2,FOXP1
GSTO1.1,9.24E-09,0.280935274,0.813,0.67,0.000170128,2,GSTO1
RARRES3.2,9.48E-09,-0.381239756,0.09,0.234,0.000174551,2,RARRES3
TSC22D3,1.08E-08,-0.276194881,0.07,0.204,0.000198802,2,TSC22D3
FOSB.1,1.10E-08,-0.333121937,0.12,0.267,0.000201826,2,FOSB
TPP1.2,1.16E-08,-0.352570905,0.123,0.265,0.000214433,2,TPP1
NDUFS8,1.45E-08,0.257820522,0.573,0.422,0.000266505,2,NDUFS8
PDCD10.2,1.56E-08,0.252690089,0.733,0.574,0.000286708,2,PDCD10
MXD1.1,1.70E-08,-0.373339476,0.077,0.207,0.00031342,2,MXD1
CXCL9.2,1.81E-08,-1.042552421,0.01,0.114,0.000333841,2,CXCL9
SF3B2,1.91E-08,0.269356798,0.76,0.646,0.000352073,2,SF3B2
SOD2.2,1.92E-08,-0.352221942,0.103,0.238,0.000354507,2,SOD2
SPARC.2,2.03E-08,-1.289596772,0.02,0.128,0.000374249,2,SPARC
SNHG6,2.08E-08,0.257609717,0.553,0.396,0.000382858,2,SNHG6
FCHO2.2,2.08E-08,-0.303065976,0.09,0.223,0.00038341,2,FCHO2
PNO1,2.14E-08,0.259868795,0.343,0.209,0.00039461,2,PNO1
SLC11A1.2,2.31E-08,-0.39741803,0.067,0.192,0.000426446,2,SLC11A1
VCAN.2,2.39E-08,-0.547418278,0.033,0.147,0.000440316,2,VCAN
CYCS,2.62E-08,0.265643228,0.653,0.495,0.000483525,2,CYCS
LBH.1,2.69E-08,-0.275554202,0.027,0.138,0.00049586,2,LBH
GPATCH4,2.99E-08,0.250626516,0.36,0.227,0.000550529,2,GPATCH4
PLA2G7.2,2.99E-08,-0.271360875,0.007,0.107,0.000550945,2,PLA2G7
SLFN5,3.09E-08,-0.252529095,0.057,0.18,0.00056842,2,SLFN5
IFIT3.2,3.16E-08,-0.298413844,0.03,0.143,0.000581662,2,IFIT3
CXCL1.2,3.17E-08,-0.56697721,0.013,0.116,0.000583449,2,CXCL1
GBP5.2,3.69E-08,-0.294610822,0.02,0.126,0.000680545,2,GBP5
UBE2L6.1,4.53E-08,-0.267707511,0.163,0.314,0.000835269,2,UBE2L6
DHRS7,4.71E-08,-0.279957982,0.257,0.422,0.000866967,2,DHRS7
RPS27L.2,5.26E-08,-0.411540451,0.43,0.561,0.000969608,2,RPS27L
PTMS,5.57E-08,0.276575822,0.57,0.428,0.0010267,2,PTMS
GLUL.2,5.84E-08,-0.723512772,0.247,0.363,0.001074922,2,GLUL
GSTK1,6.07E-08,-0.251024131,0.15,0.292,0.001118269,2,GSTK1
LIMS1.2,6.47E-08,-0.372599546,0.233,0.375,0.001192344,2,LIMS1
YWHAB.1,6.60E-08,0.252113364,0.92,0.846,0.001215581,2,YWHAB
AC020656.1.2,6.84E-08,-0.457988075,0.02,0.123,0.001259219,2,AC020656.1
SCEL.2,7.33E-08,-0.83962422,0.017,0.117,0.001350182,2,SCEL
RPAP3,9.50E-08,0.266181139,0.483,0.337,0.001750413,2,RPAP3
CEACAM6.2,1.06E-07,-1.37654521,0.017,0.114,0.001951941,2,CEACAM6
SH3BGRL3,1.06E-07,-0.486097926,0.92,0.901,0.001952783,2,SH3BGRL3
HNRNPU,1.18E-07,0.256929851,0.777,0.665,0.002179423,2,HNRNPU
GRINA,1.19E-07,-0.279834389,0.213,0.355,0.002192842,2,GRINA
HDAC2,1.29E-07,0.258805579,0.503,0.366,0.002371328,2,HDAC2
MRPS18B.2,1.71E-07,0.283674998,0.71,0.59,0.003148872,2,MRPS18B
JUNB.1,1.86E-07,-0.333519146,0.39,0.522,0.003431395,2,JUNB
RGS10.2,2.01E-07,-0.268725979,0.087,0.208,0.003707443,2,RGS10
BRI3.2,2.21E-07,-0.499933419,0.367,0.477,0.004079987,2,BRI3
TMEM258,2.56E-07,0.251800334,0.9,0.797,0.00471095,2,TMEM258
G0S2.2,2.66E-07,-0.377723568,0.02,0.116,0.004906044,2,G0S2
NDUFB1,3.38E-07,0.274383081,0.747,0.652,0.006232862,2,NDUFB1
KMT2C,3.89E-07,-0.255991509,0.327,0.468,0.007159639,2,KMT2C
SEPT7.2,4.03E-07,-0.403854932,0.71,0.747,0.007424017,2,7-Sep
IER2.2,4.09E-07,-0.481861222,0.703,0.783,0.007537986,2,IER2
DNAJC3,4.23E-07,-0.261175969,0.193,0.329,0.007783646,2,DNAJC3
OSBPL8,5.01E-07,-0.269958405,0.203,0.339,0.009233763,2,OSBPL8
C4orf3.1,5.71E-07,-0.326983049,0.53,0.639,0.010512394,2,C4orf3
ELF3.2,6.05E-07,-0.563427076,0.047,0.149,0.011140017,2,ELF3
CCL5.2,6.45E-07,-1.435652381,0.137,0.251,0.011890484,2,CCL5
COL1A1.2,6.54E-07,-1.412105999,0.027,0.119,0.012038374,2,COL1A1
UPP1.2,6.61E-07,-0.551801151,0.217,0.34,0.012175164,2,UPP1
ITSN2.1,7.26E-07,-0.307465435,0.33,0.464,0.013371225,2,ITSN2
APLP2.2,8.83E-07,-0.506506177,0.653,0.683,0.016256672,2,APLP2
LEPROT.1,9.03E-07,-0.285741683,0.253,0.382,0.016637217,2,LEPROT
NAGK,9.91E-07,-0.258245402,0.113,0.23,0.018252084,2,NAGK
STAT1.2,1.07E-06,-0.363260726,0.277,0.4,0.019776497,2,STAT1
MAP1LC3B,1.29E-06,-0.299388235,0.323,0.451,0.023717311,2,MAP1LC3B
CCNI,1.30E-06,-0.281399793,0.387,0.52,0.023958001,2,CCNI
NDRG1.1,1.34E-06,-0.371409519,0.157,0.278,0.024762965,2,NDRG1
MT-ND1.1,1.36E-06,0.276016139,0.94,0.946,0.025128417,2,MT-ND1
ATF3,1.43E-06,-0.540730366,0.417,0.517,0.026369861,2,ATF3
AKAP9,1.55E-06,-0.346471975,0.497,0.61,0.028495019,2,AKAP9
SPRY1.1,2.01E-06,-0.373362929,0.077,0.18,0.037092112,2,SPRY1
RIPK2,2.32E-06,-0.257504644,0.063,0.164,0.042647462,2,RIPK2
ARL4C.2,2.88E-06,-0.404392569,0.137,0.247,0.053086618,2,ARL4C
TPM4.2,3.81E-06,-0.512585407,0.75,0.791,0.070263879,2,TPM4
TRA2B,6.64E-06,0.332956817,0.7,0.608,0.12235545,2,TRA2B
CAP1,6.81E-06,-0.305328594,0.35,0.458,0.12539432,2,CAP1
ENO2.1,7.87E-06,-0.556489686,0.383,0.478,0.145060462,2,ENO2
TNFSF10.1,7.97E-06,-0.466863551,0.223,0.337,0.146725478,2,TNFSF10
DNAJB1.1,8.34E-06,-0.387005451,0.677,0.746,0.153661739,2,DNAJB1
S100A6.2,1.13E-05,0.288665957,0.95,0.905,0.20886469,2,S100A6
TCF25,1.25E-05,-0.287474367,0.5,0.582,0.230818455,2,TCF25
ANXA5.2,1.30E-05,-0.350504451,0.407,0.497,0.239713818,2,ANXA5
FBP1.2,1.31E-05,-0.260824275,0.043,0.127,0.241457783,2,FBP1
IGFBP4.2,1.31E-05,-0.302110353,0.04,0.123,0.24199599,2,IGFBP4
NEAT1,1.99E-05,-0.388809608,0.473,0.578,0.36703691,2,NEAT1
CCDC88A.2,2.12E-05,-0.260408826,0.123,0.224,0.389646832,2,CCDC88A
MYL12A.2,2.25E-05,-0.258943597,0.293,0.402,0.414600843,2,MYL12A
EHF.1,2.30E-05,-0.278566932,0.027,0.101,0.423026926,2,EHF
S100P.1,2.34E-05,-0.69796583,0.063,0.149,0.43177781,2,S100P
ATF5,2.48E-05,-0.250851098,0.07,0.158,0.455952418,2,ATF5
IGFBP7.2,2.56E-05,-1.589432729,0.08,0.167,0.472449257,2,IGFBP7
DUSP6.2,2.57E-05,-0.306766039,0.127,0.224,0.473797933,2,DUSP6
CEBPD,2.65E-05,-0.453423294,0.573,0.621,0.488356831,2,CEBPD
SH3GLB1,3.00E-05,-0.260602347,0.377,0.476,0.55227565,2,SH3GLB1
ECM1.2,3.82E-05,-0.490783958,0.047,0.125,0.702847473,2,ECM1
CRIP2.2,5.10E-05,-0.272814479,0.03,0.1,0.938556914,2,CRIP2
ID2.1,5.57E-05,-0.562913626,0.567,0.617,1,2,ID2
MGLL.2,5.65E-05,-0.305835491,0.243,0.35,1,2,MGLL
WSB1,7.66E-05,-0.262544189,0.407,0.495,1,2,WSB1
PRNP,7.83E-05,-0.265742187,0.273,0.373,1,2,PRNP
CSTA.2,8.93E-05,-0.42561467,0.833,0.652,1,2,CSTA
S100A2.2,9.98E-05,0.414187307,0.3,0.205,1,2,S100A2
TMPRSS11E.1,0.00010698,-0.40367988,0.573,0.389,1,2,TMPRSS11E
SELENOS,0.000116253,-0.263767567,0.617,0.687,1,2,SELENOS
HM13,0.000153756,-0.256009868,0.437,0.535,1,2,HM13
GUSB.2,0.000239208,-0.266630755,0.29,0.378,1,2,GUSB
MAFB,0.00025753,-0.44194476,0.38,0.442,1,2,MAFB
PRSS8,0.000310526,-0.401950493,0.093,0.167,1,2,PRSS8
S100A8.2,0.000322074,-0.559099405,0.21,0.302,1,2,S100A8
SPRR3.1,0.000373544,-2.777502857,0.13,0.206,1,2,SPRR3
CSTB.1,0.000422001,-0.918300138,0.713,0.694,1,2,CSTB
OAZ1.2,0.000449559,-0.25037305,0.743,0.781,1,2,OAZ1
ITGB1.2,0.000641023,-0.576052254,0.53,0.552,1,2,ITGB1
TUBA1A.2,0.000644395,-0.294626559,0.18,0.26,1,2,TUBA1A
GOLGA4,0.000859381,-0.268376738,0.367,0.443,1,2,GOLGA4
NECTIN4.2,0.000889342,-0.368771595,0.187,0.258,1,2,NECTIN4
ATP6V0B.2,0.000892345,-0.279075731,0.503,0.552,1,2,ATP6V0B
HBEGF,0.001090518,-0.345540953,0.25,0.332,1,2,HBEGF
OS9.1,0.001225042,-0.263815331,0.213,0.289,1,2,OS9
TMOD3.1,0.00132967,-0.276897419,0.367,0.434,1,2,TMOD3
ACTB.2,0.001343329,-0.480153827,0.987,0.943,1,2,ACTB
IGHG4.1,0.001629193,-3.301121203,0.143,0.215,1,2,IGHG4
KRT16.2,0.002197537,-1.497268592,0.203,0.272,1,2,KRT16
PLTP.2,0.002248937,-0.40288629,0.203,0.271,1,2,PLTP
SPARCL1,0.002364063,-0.374283234,0.473,0.347,1,2,SPARCL1
CAPZB.2,0.002501417,-0.265646401,0.627,0.638,1,2,CAPZB
ANKRD36C.2,0.002999355,-0.421307245,0.05,0.102,1,2,ANKRD36C
SPRR1B.2,0.003018709,-3.14209913,0.243,0.305,1,2,SPRR1B
COL1A2.2,0.003583357,-2.169824644,0.06,0.111,1,2,COL1A2
ARID5B.2,0.003795152,-0.303675122,0.313,0.374,1,2,ARID5B
SELENOM,0.00454078,-0.257313023,0.163,0.225,1,2,SELENOM
GPX1.2,0.005181385,-0.459783808,0.677,0.663,1,2,GPX1
RNF145.1,0.005348473,-0.280281395,0.677,0.668,1,2,RNF145
C1R.2,0.006552802,-0.452201488,0.06,0.108,1,2,C1R
LAP3.2,0.006841975,-0.25050162,0.367,0.424,1,2,LAP3
ADIRF,0.008507638,-0.267202651,0.123,0.178,1,2,ADIRF
SLK.1,0.009387426,-0.443378672,0.46,0.518,1,2,SLK
TAOK1,0.00938928,-1.758209706,0.263,0.333,1,2,TAOK1
DAPL1.2,0.010309963,-0.311372933,0.35,0.26,1,2,DAPL1
SPP1.1,0.010688594,-2.353318771,0.683,0.539,1,2,SPP1
SLC2A1.1,0.011622277,-0.440534693,0.353,0.39,1,2,SLC2A1
YPEL3,0.012210277,-0.319002186,0.31,0.358,1,2,YPEL3
KLK10,0.014639695,-0.31019041,0.09,0.136,1,2,KLK10
EMP1.1,0.015028011,-0.309384251,0.237,0.287,1,2,EMP1
EDN1.1,0.017180241,-0.275424992,0.093,0.138,1,2,EDN1
RAB11FIP1.1,0.017800717,-0.313003006,0.183,0.232,1,2,RAB11FIP1
PLD3,0.019356747,-0.389412915,0.483,0.497,1,2,PLD3
HILPDA.1,0.022168592,-0.467024863,0.253,0.302,1,2,HILPDA
SERPINB3.2,0.023286699,-1.279246703,0.097,0.141,1,2,SERPINB3
CALD1.2,0.026600236,-1.004724758,0.123,0.163,1,2,CALD1
AKR1C1.3,4.34E-71,1.215896537,1,0.744,8.00E-67,3,AKR1C1
KRT8.2,1.93E-62,0.960783038,0.905,0.462,3.56E-58,3,KRT8
RPS27A.3,4.53E-62,0.84794942,1,0.983,8.34E-58,3,RPS27A
TXN.3,1.35E-61,0.981818577,0.99,0.788,2.49E-57,3,TXN
LDHB.3,1.37E-61,0.893956565,0.993,0.695,2.52E-57,3,LDHB
ATP5MC3.3,2.83E-60,0.948964113,0.98,0.78,5.22E-56,3,ATP5MC3
RPL35.3,1.42E-56,0.742218463,1,0.946,2.61E-52,3,RPL35
UCHL1.2,1.54E-55,0.838227711,0.779,0.349,2.84E-51,3,UCHL1
SSB.2,4.32E-55,0.756730011,0.98,0.793,7.95E-51,3,SSB
C1QBP.3,3.53E-54,0.826346114,0.929,0.548,6.51E-50,3,C1QBP
GSTM3.3,5.06E-54,0.966701172,0.993,0.649,9.32E-50,3,GSTM3
B2M.3,6.02E-54,-2.6122204,0.81,0.921,1.11E-49,3,B2M
CCT6A.3,9.89E-54,0.906855358,1,0.843,1.82E-49,3,CCT6A
RPL6.3,5.90E-53,0.714697586,1,0.971,1.09E-48,3,RPL6
SNRPD1.2,9.73E-53,0.853968734,0.973,0.687,1.79E-48,3,SNRPD1
MIR205HG.3,1.43E-51,0.893264562,0.918,0.491,2.63E-47,3,MIR205HG
SNRPD2.2,1.45E-51,0.753295935,0.986,0.812,2.67E-47,3,SNRPD2
NQO1.2,3.05E-51,0.81545951,0.867,0.458,5.63E-47,3,NQO1
MALAT1.3,3.90E-51,-1.201773555,0.997,0.997,7.18E-47,3,MALAT1
CCT4.3,5.87E-51,0.763570407,0.963,0.63,1.08E-46,3,CCT4
NTS.3,2.29E-50,1.003249531,0.956,0.636,4.21E-46,3,NTS
ATP5ME.3,2.96E-50,0.747932012,0.99,0.852,5.45E-46,3,ATP5ME
FXYD3.3,4.69E-48,0.860381997,0.99,0.619,8.65E-44,3,FXYD3
RPL35A.3,5.51E-48,0.763811658,0.997,0.957,1.01E-43,3,RPL35A
NEFL.3,4.72E-47,1.019455942,0.697,0.308,8.69E-43,3,NEFL
GSTP1.3,5.03E-46,0.802350814,1,0.917,9.26E-42,3,GSTP1
GPX2.3,1.74E-45,0.750311971,0.932,0.527,3.20E-41,3,GPX2
PTGR1.3,2.65E-45,0.870769533,0.881,0.524,4.89E-41,3,PTGR1
HSPD1.2,5.87E-45,0.721366428,0.966,0.723,1.08E-40,3,HSPD1
SET.2,1.88E-44,0.710852502,0.98,0.789,3.46E-40,3,SET
CABYR.3,2.18E-44,0.622202849,0.67,0.283,4.01E-40,3,CABYR
SOX2.3,1.15E-43,0.800425185,0.878,0.468,2.11E-39,3,SOX2
ATP5MC1.2,3.94E-43,0.69533675,0.898,0.561,7.26E-39,3,ATP5MC1
PRDX1.2,4.43E-43,0.661087345,0.969,0.84,8.17E-39,3,PRDX1
ETFB.3,4.91E-43,0.729032276,0.939,0.612,9.05E-39,3,ETFB
EPCAM.2,5.69E-43,0.708988068,0.765,0.384,1.05E-38,3,EPCAM
YDJC.2,1.42E-41,0.555021396,0.714,0.334,2.61E-37,3,YDJC
STOML2.3,1.98E-41,0.685067685,0.895,0.57,3.66E-37,3,STOML2
NDUFAF8.1,2.40E-41,0.65439937,0.789,0.446,4.41E-37,3,NDUFAF8
TMEM14A.3,2.56E-41,0.755981352,0.864,0.485,4.72E-37,3,TMEM14A
HLA-B.3,3.37E-41,-1.778879681,0.303,0.647,6.21E-37,3,HLA-B
PEBP1.2,6.82E-41,0.698729557,0.942,0.721,1.26E-36,3,PEBP1
AKR1C3.3,1.12E-40,0.680867462,0.969,0.536,2.07E-36,3,AKR1C3
NDUFB6.2,1.61E-39,0.652187141,0.884,0.584,2.97E-35,3,NDUFB6
RANBP1.1,2.50E-39,0.568852813,0.779,0.417,4.61E-35,3,RANBP1
NCL.2,2.78E-39,0.65640984,0.969,0.856,5.13E-35,3,NCL
RPL38.3,3.10E-39,0.660206925,0.986,0.828,5.71E-35,3,RPL38
HLA-C.3,1.22E-38,-1.318094067,0.248,0.602,2.25E-34,3,HLA-C
RPLP0.3,1.56E-38,0.627195338,1,0.913,2.87E-34,3,RPLP0
HLA-E.3,4.35E-38,-1.175709874,0.279,0.624,8.01E-34,3,HLA-E
HSP90AB1.2,5.92E-38,0.634662267,1,0.989,1.09E-33,3,HSP90AB1
PDCD5.2,2.93E-37,0.651644601,0.881,0.577,5.39E-33,3,PDCD5
RPS7.3,4.24E-37,0.631853929,0.98,0.828,7.80E-33,3,RPS7
RPS3.3,4.82E-37,0.57209968,1,0.963,8.88E-33,3,RPS3
KRT18.2,6.48E-37,0.678575354,0.837,0.492,1.19E-32,3,KRT18
MT-ATP8.2,7.54E-37,0.71219363,0.973,0.954,1.39E-32,3,MT-ATP8
RPL27.3,3.91E-36,0.553570309,0.997,0.924,7.20E-32,3,RPL27
RPLP1.3,5.35E-36,0.519203651,1,0.997,9.86E-32,3,RPLP1
PFN1.2,7.48E-36,0.568733251,0.993,0.911,1.38E-31,3,PFN1
RPS4X.3,9.48E-36,0.625690658,0.99,0.869,1.75E-31,3,RPS4X
RPL37.3,1.97E-35,0.585937426,1,0.99,3.63E-31,3,RPL37
TKT.3,2.66E-35,0.606469295,0.912,0.59,4.90E-31,3,TKT
EHBP1.3,4.05E-35,0.593596157,0.82,0.457,7.46E-31,3,EHBP1
RPS16.3,5.69E-35,0.500947275,1,0.994,1.05E-30,3,RPS16
RPLP2.3,6.45E-35,0.497572515,1,0.992,1.19E-30,3,RPLP2
MT-CO2.3,1.54E-34,0.628804023,0.986,0.986,2.84E-30,3,MT-CO2
HMGB1.2,2.54E-34,0.585831727,0.986,0.917,4.67E-30,3,HMGB1
MT-ND2.2,3.16E-34,0.650361546,0.976,0.978,5.82E-30,3,MT-ND2
RPL24.3,3.44E-34,0.589139854,0.983,0.878,6.34E-30,3,RPL24
MDH1.3,4.46E-34,0.596512886,0.878,0.555,8.21E-30,3,MDH1
COX7B.3,5.21E-34,0.614682089,0.956,0.77,9.59E-30,3,COX7B
SAT1.3,7.94E-34,-1.735907582,0.422,0.698,1.46E-29,3,SAT1
SOST.2,1.25E-33,0.501174079,0.49,0.185,2.30E-29,3,SOST
COX6A1.3,1.59E-33,0.555088653,0.932,0.711,2.94E-29,3,COX6A1
NME1.2,1.81E-33,0.596535829,0.786,0.465,3.34E-29,3,NME1
NDUFB9.3,2.83E-33,0.616818825,0.891,0.678,5.21E-29,3,NDUFB9
STMN1.2,2.95E-33,0.524715539,0.793,0.426,5.43E-29,3,STMN1
SNRPE.2,3.94E-33,0.61704293,0.871,0.579,7.26E-29,3,SNRPE
RPS24.2,7.94E-33,0.533251099,0.993,0.918,1.46E-28,3,RPS24
LAMB3.2,8.32E-33,0.496597282,0.619,0.276,1.53E-28,3,LAMB3
AKR1B10.3,9.74E-33,0.624112439,0.769,0.402,1.79E-28,3,AKR1B10
MRPS21.2,1.34E-32,0.575654002,0.871,0.625,2.47E-28,3,MRPS21
CBR1.3,1.95E-32,0.650489701,0.844,0.556,3.58E-28,3,CBR1
CHCHD2.2,2.52E-32,0.537169645,0.986,0.874,4.64E-28,3,CHCHD2
MT-ND4.3,3.25E-32,0.608777397,0.986,0.988,5.98E-28,3,MT-ND4
ALDH1A1.1,3.44E-32,0.567180992,0.602,0.29,6.34E-28,3,ALDH1A1
COA6.3,3.46E-32,0.630641649,0.816,0.5,6.38E-28,3,COA6
RPL8.2,4.10E-32,0.50357292,0.997,0.956,7.55E-28,3,RPL8
RPL19.3,4.83E-32,0.509180747,0.99,0.929,8.90E-28,3,RPL19
RPS5.3,6.10E-32,0.549016393,0.986,0.912,1.12E-27,3,RPS5
PSMB6.3,7.02E-32,0.62996386,0.963,0.79,1.29E-27,3,PSMB6
CTNNAL1.1,1.18E-31,0.43672018,0.456,0.173,2.17E-27,3,CTNNAL1
ATP5F1A.2,1.22E-31,0.552546733,0.82,0.53,2.25E-27,3,ATP5F1A
AL450405.1.3,1.45E-31,0.535816712,0.908,0.612,2.67E-27,3,AL450405.1
AKR1C2.3,1.84E-31,0.552018764,0.973,0.609,3.38E-27,3,AKR1C2
MZT2B.2,2.11E-31,0.606565401,0.854,0.592,3.88E-27,3,MZT2B
IMPACT.3,2.90E-31,0.561498469,0.816,0.483,5.34E-27,3,IMPACT
NIPSNAP2.3,3.82E-31,0.474163022,0.983,0.734,7.03E-27,3,NIPSNAP2
DCTPP1.1,6.37E-31,0.526918033,0.548,0.255,1.17E-26,3,DCTPP1
MCM2.1,6.80E-31,0.332189934,0.289,0.08,1.25E-26,3,MCM2
CMSS1.2,9.06E-31,0.536622144,0.65,0.329,1.67E-26,3,CMSS1
MRPL52.3,1.54E-30,0.571063816,0.901,0.644,2.84E-26,3,MRPL52
HMGA1.3,1.57E-30,0.542591084,0.837,0.512,2.90E-26,3,HMGA1
NDUFAB1.2,1.93E-30,0.522277021,0.83,0.536,3.55E-26,3,NDUFAB1
SIGMAR1.2,2.03E-30,0.508619638,0.714,0.391,3.74E-26,3,SIGMAR1
TMEM97.1,4.58E-30,0.533471179,0.486,0.208,8.43E-26,3,TMEM97
MT-ND4L.3,5.30E-30,0.746803475,0.973,0.937,9.76E-26,3,MT-ND4L
RPL5.3,7.16E-30,0.490775233,1,0.939,1.32E-25,3,RPL5
NOP58.2,7.72E-30,0.533238481,0.915,0.654,1.42E-25,3,NOP58
RPS18.3,7.72E-30,0.542549183,0.993,0.883,1.42E-25,3,RPS18
NSD3.3,9.62E-30,0.625794938,0.983,0.711,1.77E-25,3,NSD3
OLA1.1,1.30E-29,0.473459401,0.673,0.363,2.39E-25,3,OLA1
RPS8.2,1.84E-29,0.523170524,0.993,0.922,3.39E-25,3,RPS8
RPS19.3,2.20E-29,0.435364237,0.997,0.988,4.04E-25,3,RPS19
DANCR.2,2.50E-29,0.494270209,0.565,0.269,4.60E-25,3,DANCR
ATP5F1B.2,4.63E-29,0.552017668,0.874,0.641,8.53E-25,3,ATP5F1B
MYC.1,5.69E-29,0.443224488,0.52,0.23,1.05E-24,3,MYC
PAICS.1,6.62E-29,0.449967014,0.51,0.224,1.22E-24,3,PAICS
RPL31.3,7.02E-29,0.468091479,1,0.991,1.29E-24,3,RPL31
MAP1B.1,7.47E-29,0.509503455,0.656,0.339,1.38E-24,3,MAP1B
VIM.3,8.14E-29,-1.741956627,0.092,0.412,1.50E-24,3,VIM
SOD1.1,8.68E-29,0.584107852,0.861,0.625,1.60E-24,3,SOD1
PGD.3,9.06E-29,0.509835102,0.84,0.537,1.67E-24,3,PGD
CD74.3,1.03E-28,-2.711306167,0.109,0.427,1.89E-24,3,CD74
FBL.1,1.24E-28,0.458893024,0.629,0.321,2.28E-24,3,FBL
PSMB5.3,1.74E-28,0.638375606,0.905,0.674,3.20E-24,3,PSMB5
PA2G4.2,1.82E-28,0.526778448,0.884,0.631,3.35E-24,3,PA2G4
RPS26.2,2.67E-28,0.544200337,0.949,0.847,4.92E-24,3,RPS26
TMSB4X.3,3.53E-28,-1.583659946,0.463,0.691,6.50E-24,3,TMSB4X
SLIRP.2,4.14E-28,0.570405888,0.81,0.554,7.63E-24,3,SLIRP
